Course Name,Timestamp,Rating,Comment
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-25 12:12:02,5.0,
Data Engineering using Databricks on AWS and Azure,2022-07-25 12:00:22,5.0,Very detailed explaination
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-25 11:17:21,2.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-25 10:37:34,3.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-25 10:05:37,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-25 09:59:08,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-25 09:45:11,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-25 09:17:33,4.5,
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-25 09:02:41,3.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-25 08:42:28,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-25 08:34:21,5.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-07-25 08:25:39,3.5,VERY GOOD EXPLANATION
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-25 06:41:05,5.0,
Data Engineering using Databricks on AWS and Azure,2022-07-24 21:50:27,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-24 20:10:45,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-24 18:59:21,5.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-07-24 14:52:54,3.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-24 12:51:23,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-24 09:44:28,5.0,Absolutely good.  This content is aligned with multiple illustrations. This  Industry-Vetted Curriculum content was highly useful for a Data Engineer.
Data Engineering using Kafka and Spark Structured Streaming,2022-07-24 07:48:53,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-24 07:40:21,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-24 07:13:07,4.5,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-24 00:41:42,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-23 22:29:14,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-23 16:57:59,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-23 16:40:53,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-23 15:54:59,5.0,
Data Engineering using Databricks on AWS and Azure,2022-07-23 14:49:20,5.0,
Mastering SQL using Postgresql,2022-07-23 13:25:02,4.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-07-23 12:31:30,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-23 11:24:45,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-23 08:54:13,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-23 03:08:39,5.0,Awesome.
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-22 22:57:04,3.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-22 17:27:03,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-22 15:37:44,4.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-07-22 09:30:20,3.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-22 08:59:34,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-22 07:32:06,5.0,
